класс,Вопрос,Ответ,bloom_id,answerability_score,leakage_score,accuracy_score,answerability_verdict,hint_verdict,fact_verdict,answerability_issue_type,hint_issue_type,fact_error_type,Domain
11 класс,"Определи, как каждая из характеристик вектора магнитной индукции соответствует элементам, описывающим силовое воздействие магнитного поля на движущийся заряд.","Вектор магнитной индукции определяет направление и модуль силы Лоренца, действующей на движущийся заряд: направление силы перпендикулярно скорости заряда и вектору индукции, а её модуль зависит от величины индукции, заряда и скорости.",13,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,LEADING HINT,Minor Nitpick,physics
9 класс,Что такое проекции вектора?,"Проекции вектора — это величина, равная произведению модуля вектора на косинус угла между вектором и направлением проекции.",3,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
7 класс,"Приведи примеры объектов, которые относятся к категории «строение вещества», и опиши, как они соответствуют данному понятию.","Примеры: кристаллическая решётка (атомно-молекулярное строение), модель атома Бора (дискретное строение вещества). Они соответствуют понятию «строение вещества», так как описывают расположение и взаимодействие частиц на микроскопическом уровне.",8,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
8 класс,"Как ""жидкость"" относится к ""форме"", так ""газ"" относится к _______.","Как ""жидкость"" относится к ""агрегатному состоянию"", так ""газ"" относится к ""агрегатному состоянию"".",11,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,MULTICHOICE_ELIMINATION,,physics
9 класс,"Дано, что мгновенная скорость тела — это величина, характеризующая скорость изменения радиус-вектора тела в определённый момент времени. Сформулируйте это определение своими словами.","Мгновенная скорость тела — это величина, характеризующая быстроту изменения радиус-вектора тела в конкретный момент времени при его движении.",5,3.0,30.0,4.0,Good,REVIEW,Perfect,Minor Issues / Implicit Context,LEADING HINT,,physics
10 класс,"Идеальная жидкость — это жидкость, которая не обладает вязкостью и не подвержена внутренним трением, движение которой описывается уравнениями Эйлера. Заполните пропуск: Идеальная жидкость не обладает ___ и не подвержена внутренним трением.",Идеальная жидкость не обладает **вязкостью** и не подвержена внутренним трением.,4,4.0,75.0,4.0,Perfect,FAIL,Perfect,,DIRECT_ANSWER,,physics
11 класс,"Определите модуль силы тока в цепи, если за 5 секунд через поперечное сечение проводника проходит заряд 10 кулонов.","Модуль силы тока определяется по формуле $ I = \frac{Q}{t} $, где $ Q = 10 \, \text{Кл} $, $ t = 5 \, \text{с} $. Результат: $ I = \frac{10}{5} = 2 \, \text{А} $.",18,4.0,0.0,,Perfect,PASS,,,OK,,physics
11 класс,Что такое круговой виток в контексте пространственного расположения спирального витка?,"Круговой виток в контексте пространственного расположения спирального витка — это отдельная замкнутая цепь, образованная одной окружностью, входящая в состав спирали, например, в виде витка катушки.",3,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,LEADING HINT,Terminological Error,physics
8 класс,"Тепловое расширение — это увеличение объёма вещества при повышении его температуры. Верно ли утверждение, что оно происходит из-за возрастания средней кинетической энергии частиц?","Верно. Тепловое расширение происходит из-за возрастания средней кинетической энергии частиц, что приводит к увеличению расстояний между ними и росту объёма вещества.",1,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Minor Nitpick,physics
9 класс,"Радиус-вектор материальной точки — это вектор, проведённый из начала координат в точку расположения материальной точки в данный момент времени. Как координаты точки относятся к её положению, так вектор скорости относится к _______.",Вектор скорости относится к **движению тела**.,11,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,physics
7 класс,"Как можно изменить структуру молекулы воды, чтобы уменьшить её температуру кипения?","Чтобы уменьшить температуру кипения воды, можно изменить её молекулярную структуру, ослабив межмолекулярные силы взаимодействия (например, водородные связи), что снизит удельную теплоту парообразования.",16,3.0,30.0,1.0,Good,REVIEW,Major Misconception,Minor Issues / Implicit Context,LEADING HINT,Logical Fallacy,physics
7 класс,"Верно ли, что перемещение – это изменение положения тела или его частей в пространстве относительно опоры или другого тела под действием сил?","Нет, перемещение — это векторная величина, характеризующая изменение положения тела относительно системы отсчёта, а не обязательно связана с действием сил.",1,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
8 класс,"Представьте, что вам нужно определить, какое из двух неизвестных жидкостей обладает большей вязкостью, используя только лабораторный шприц и часы. Какой метод вы бы применили для сравнения вязкости этих жидкостей, и какую последовательность действий вы бы выполнили для получения результата?","Измерьте время вытекания одинакового объёма жидкостей из шприца через иглу, используя часы. Жидкость с большей вязкостью будет медленнее вытекать, так как вязкое трение препятствует её течению.",19,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
9 класс,"Как изменение скорости тела в единицу времени характеризует ускорение, так изменение пути в единицу времени характеризует скорость. Опишите, как каждая часть определения ускорения соответствует аналогичной части определения скорости.","Ускорение характеризуется изменением скорости в единицу времени, как скорость — изменением пути в единицу времени, то есть оба определения описывают отношение изменения соответствующей физической величины к времени.",13,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Terminological Error,physics
10 класс,"Даны три утверждения о идеальном газе: 1) молекулы не взаимодействуют между собой, 2) объём молекул пренебрежимо мал, 3) давление газа зависит от скорости молекул. Определи, какое из утверждений не относится к характеристикам идеального газа.","Утверждение 3 не относится к характеристикам идеального газа, так как давление идеального газа определяется через температуру и количество вещества (согласно уравнению Клапейрона), а не напрямую от скорости молекул, которая включает в себя макроскопические параметры.",12,3.0,30.0,1.0,Good,REVIEW,False,Minor Issues / Implicit Context,LEADING_HINT,Logical Fallacy,physics
11 класс,"Эксперимент Эрстеда демонстрирует влияние электрического тока на магнитную стрелку, как электрический заряд влияет на __________.","Эксперимент Эрстеда демонстрирует влияние электрического тока на магнитную стрелку, как электрический заряд влияет на **электрическое поле**.",11,2.0,30.0,1.0,Ambiguous,REVIEW,False,Missing Data,LEADING_HINT,Logical Fallacy,physics
7 класс,"Приведите пример явления, которое относится к магнитным явлениям, и объясните, почему оно входит в эту категорию.","Примером магнитного явления является **магнитное действие электрического тока**, поскольку оно связано с возникновением магнитного поля вокруг проводника с током, что подтверждается опытами (например, опытом Эрстеда).",7,3.0,10.0,4.0,Good,PASS,Perfect,Minor Issues / Implicit Context,OK,,physics
8 класс,"Прочитай определение теплового сжатия и сформулируй краткое основное понятие, отражающее его суть.","Тепловое сжатие — это уменьшение объёма тела при понижении температуры, противоположное тепловому расширению.",9,1.0,10.0,3.0,Deficient,PASS,Mostly Correct,Missing Data,OK,Terminological Error,physics
9 класс,Зависимость описания движения тела от выбора системы отсчёта называется ___ механического движения.,Зависимость описания движения тела от выбора системы отсчёта называется **относительность механического движения**.,4,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,physics
10 класс,"Установите соответствия между понятиями и их определениями:  
1. Механика  
2. Движение  
3. Взаимодействие  

А. Процесс изменения положения тела в пространстве  
Б. Раздел физики, изучающий законы движения и взаимодействия материальных тел  
В. Влияние одного тела на другое, приводящее к изменению их состояния","1. Механика — Б. Раздел физики, изучающий законы движения и взаимодействия материальных тел  
2. Движение — А. Процесс изменения положения тела в пространстве  
3. Взаимодействие — В. Влияние одного тела на другое, приводящее к изменению их состояния",2,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,physics
11 класс,"Модуль силы Лоренца определяется как произведение заряда частицы на произведение модуля скорости и магнитной индукции, умноженное на синус угла между направлением скорости и вектором магнитной индукции. Является ли это утверждение верным?","Да, утверждение верно. Модуль силы Лоренца определяется как $ F = qvB \sin \theta $, где $ q $ — заряд частицы, $ v $ — модуль скорости, $ B $ — модуль вектора магнитной индукции, $ \theta $ — угол между направлением скорости и вектором магнитной индукции.",1,4.0,10.0,,Perfect,PASS,,,OK,,physics
7 класс,"Прочитайте определение равномерного движения: это механическое движение, при котором тело за любые равные промежутки времени проходит одинаковые пути. Сформулируйте кратко основную идею этого определения.","Равномерное движение – это движение, при котором тело проходит одинаковые пути за равные промежутки времени.",9,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
10 класс,"Тело, движущееся по прямой со скоростью 5 м/с, имеет массу 2 кг. Представьте это тело в виде материальной точки и опишите, какие характеристики тела вы учитываете и какие игнорируете.","Тело представляется как материальная точка, учитывая массу (2 кг) и скорость (5 м/с), а свойства, такие как размер, форма, внутренняя структура и силы сопротивления, игнорируются.",5,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
11 класс,"Проводник с током помещён в магнитное поле, и на него действует сила Ампера. Определите, как изменится величина этой силы, если скорость упорядоченного движения заряженных частиц в проводнике увеличится в 2 раза, а сила тока при этом останется неизменной. Обоснуйте свой ответ, используя определение силы тока.","Сила Ампера не изменится, так как она зависит от силы тока, который остаётся неизменным. Увеличение скорости упорядоченного движения зарядов компенсируется изменением плотности тока, чтобы сохранить постоянство силы тока, согласно определению $ I = n e v S $, где $ I $ — сила тока, $ v $ — скорость зарядов.",19,4.0,0.0,1.0,Perfect,PASS,Major Misconception,,OK,Logical Fallacy,physics
8 класс,"Как изменится объём газа в закрытом сосуде, если уменьшить температуру газа?","Объём газа в закрытом сосуде уменьшится при понижении температуры, так как при постоянном давлении объём газа обратно пропорционален его температуре (закон Шарля).",17,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,LEADING HINT,Minor Nitpick,physics
9 класс,"Даны три величины: скорость, масса, сила. Определи, какая из них не относится к векторным величинам.","Масса не относится к векторным величинам, так как она характеризуется только числовым значением, а не направлением.",12,4.0,75.0,4.0,Perfect,FAIL,Perfect,,MULTICHOICE_ELIMINATION,,physics
11 класс,"Дано, что магнитное поле воздействует на движущиеся заряды и магнитные моменты, проявляясь через силы. Если сила, действующая на заряд, увеличивается при увеличении скорости заряда, то какова зависимость силы от скорости в этом случае?","Сила Лоренца, действующая на заряженную частицу, прямо пропорциональна скорости частицы при условии, что направление скорости перпендикулярно магнитному полю ($F = qvB$).",10,3.0,30.0,,Good,REVIEW,,Minor Issues / Implicit Context,LEADING HINT,,physics
7 класс,"Если скорость тела при неравномерном движении постепенно увеличивается, как это повлияет на пройденный путь за каждую последующую единицу времени?","При неравномерном движении с увеличивающейся скоростью пройденный путь за каждую последующую единицу времени увеличивается, так как изменение скорости приводит к росту средней скорости на каждом интервале.",17,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Logical Fallacy,physics
10 класс,"Определи, как каждая характеристика абсолютно твёрдого тела соответствует аналогичной характеристике реального твёрдого тела, и поясни, в чём заключается идеализация, допущенная при создании этой модели.","Каждая характеристика абсолютно твёрдого тела соответствует реальному твёрдому телу в части сохранения формы и сопротивления деформациям, однако модель идеализирует, игнорируя реальные деформации, упругие и пластические изменения, а также внутренние напряжения, присущие реальным материалам.",13,2.0,10.0,4.0,Ambiguous,PASS,Perfect,Missing Data,OK,,physics
8 класс,"Даны следующие материалы: углеродный волокнин, алюминиевая фольга, графен, слоистый карбид кремния. Определи, какой из них относится к категории двумерных материалов, состоящих из атомов углерода, расположенных в виде плоской решётки в форме шестиугольников.","Графен — двумерный материал, состоящий из атомов углерода, расположенных в виде плоской шестиугольной решётки.",8,4.0,85.0,4.0,Perfect,FAIL,Perfect,,REVEALING_EXAMPLE,,physics
9 класс,"Установите соответствие между физическими величинами и их обозначениями:  
1) средняя скорость  
2) пройденный путь  
3) время движения  

а) s  
б) t  
в) v",1) средняя скорость — в) v; 2) пройденный путь — а) s; 3) время движения — б) t.,2,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
7 класс,"Даны следующие процессы: плавление льда, работа электродвигателя, нагревание воды в чайнике. Определите, какие из них относятся к тепловым явлениям, связанным с изменением внутренней энергии тел в результате теплопередачи.","К тепловым явлениям, связанным с изменением внутренней энергии в результате теплопередачи, относятся плавление льда (связано с удельной теплотой плавления) и нагревание воды в чайнике (процесс теплопередачи, увеличивающий внутреннюю энергию воды).",8,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
10 класс,Что такое сила тока?,Сила тока — это упорядоченное движение заряженных частиц в проводнике.,3,4.0,0.0,4.0,Perfect,PASS,Perfect,,OK,,physics
11 класс,"Определите направление силы, действующей на положительный заряд, движущийся в магнитном поле с индукцией $ \vec{B} $, если скорость заряда направлена перпендикулярно вектору магнитной индукции. Используйте правило левой руки для определения направления силы.","Направление силы Лоренца определяется по правилу левой руки: если указательный палец направлен по скорости заряда, средний — по вектору магнитной индукции, то большой палец укажет направление силы. При перпендикулярном движении сила будет перпендикулярна как скорости, так и вектору магнитной индукции.",18,4.0,35.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,physics
11 класс,"Соедините элементы из первого списка с соответствующими определениями из второго списка:  
1. Сила Лоренца  
2. Электрическое поле  
3. Магнитное поле  

A. Поле, создаваемое неподвижными зарядами  
B. Сила, действующая на заряженную частицу в электромагнитном поле  
C. Поле, создаваемое движущимися зарядами","1. Сила Лоренца — B. Сила, действующая на заряженную частицу в электромагнитном поле.  
2. Электрическое поле — A. Поле, создаваемое неподвижными зарядами.  
3. Магнитное поле — C. Поле, создаваемое движущимися зарядами.",2,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,MULTICHOICE_ELIMINATION,Terminological Error,physics
8 класс,"Как можно изменить условия в сосуде с газом, чтобы увеличить его давление, если объем сосуда нельзя изменить?","Увеличить температуру газа, так как при постоянном объёме давление газа прямо пропорционально его температуре (зависимость давления газа от температуры).",16,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Minor Nitpick,physics
8 класс,"Верно ли, что в модели жидкого состояния биологические мембраны рассматриваются как жидкости, в которых липидные молекулы могут свободно перемещаться, сохраняя функциональную целостность мембраны?","Да, в модели жидкого состояния биологические мембраны рассматриваются как жидкости, где липидные молекулы диффундируют, сохраняя структурную целостность за счёт взаимодействий.",1,4.0,15.0,4.0,Perfect,PASS,Perfect,,OK,,physics
9 класс,"Дано, что мгновенная скорость тела характеризует скорость изменения радиус-вектора тела в определённый момент времени. Определи, какое утверждение логически вытекает из этого определения, если известно, что радиус-вектор тела изменяется со временем по закону $ \vec{r}(t) = 2t^2 \vec{i} + 3t \vec{j} $.","Мгновенная скорость тела определяется как производная радиус-вектора по времени, что для данного закона движения даёт $ \vec{v}(t) = 4t \vec{i} + 3 \vec{j} $.",10,4.0,30.0,,Perfect,REVIEW,,,LEADING HINT,,physics
11 класс,"Дано определение кругового витка как пространственного расположения спирального витка, при котором ось вращения проходит через центр масс тела и совпадает с осью симметрии. Определите, какие из приведённых ниже примеров соответствуют данному определению, а какие — нет.","Примеры, соответствующие определению, — это объекты с осью вращения, проходящей через центр масс и совпадающей с осью симметрии, такие как круговой виток (кольцо) или спираль, симметричная относительно своей оси. Примеры, не соответствующие, — объекты, где ось вращения не совпадает с осью симметрии или не проходит через центр масс.",8,2.0,75.0,3.0,Ambiguous,FAIL,Mostly Correct,Missing Data,REVEALING_EXAMPLE,Minor Nitpick,physics
7 класс,"Как можно изменить проводник в электрической цепи, чтобы усилить возникающий в нём электрический ток при постоянном напряжении?","Чтобы увеличить электрический ток при постоянном напряжении, необходимо уменьшить сопротивление проводника, используя материал с меньшим удельным сопротивлением или увеличив его площадь поперечного сечения, что следует из закона Ома для участка цепи.",16,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
8 класс,"Определите, на сколько увеличится объём алюминиевого куба с ребром 10 см при нагревании на 50 °C, если коэффициент объёмного расширения алюминия равен 75 × 10⁻⁶ °C⁻¹.","Объём алюминиевого куба увеличится на $ \Delta V = \beta \cdot V_0 \cdot \Delta T = 75 \times 10^{-6} \, ^\circ C^{-1} \cdot (0.1 \, \text{м})^3 \cdot 50 \, ^\circ C = 3.75 \times 10^{-4} \, \text{м}^3 = 375 \, \text{см}^3 $. Это связано с **тепловым расширением**.",18,4.0,15.0,,Perfect,PASS,,,OK,,physics
10 класс,Напряжение относится к работе электрического поля как сила относится к _______.,Напряжение относится к работе электрического поля как сила относится к механическому движению.,11,4.0,30.0,4.0,Perfect,REVIEW,Perfect,,LEADING HINT,,physics
11 класс,"Определите направление силы Лоренца, действующей на положительный заряд, движущийся в магнитном поле, если известно, что направление скорости заряда перпендикулярно линиям магнитной индукции, а направление магнитного поля задано. Опишите логическую связь между направлениями скорости, магнитного поля и силы Лоренца, используя правило левой руки.","Направление силы Лоренца определяется правилом левой руки: если указательный палец направлен по вектору магнитной индукции, а средний — по скорости положительного заряда, то большой палец покажет направление силы. Сила Лоренца перпендикулярна и скорости, и магнитному полю, что следует из векторного произведения в формуле $ \vec{F} = q (\vec{v} \times \vec{B}) $.",10,4.0,30.0,,Perfect,REVIEW,,,LEADING HINT,,physics
9 класс,"Система отсчёта — это совокупность взаимосвязанных объектов или правил, позволяющих определить положение и движение других объектов в пространстве и времени. Верно ли это утверждение?","Утверждение верно. Система отсчёта — это физическая модель, позволяющая определять положение и движение тел в пространстве и времени, и она включена в список допустимых терминов.",1,4.0,10.0,,Perfect,PASS,,,OK,,physics
7 класс,"Приведите пример механического движения и объясните, как оно связано с изменением положения тела в пространстве под действием сил.","Пример механического движения — падение тела под действием силы тяжести, где изменение скорости приводит к перемещению тела в пространстве.",6,3.0,10.0,3.0,Good,PASS,Mostly Correct,Minor Issues / Implicit Context,OK,Minor Nitpick,physics
8 класс,"Прочитайте определение понятия «модели газообразного состояния» и сформулируйте основную идею, которую оно отражает.","Модели газообразного состояния отражают идею описания свойств газов через закономерности движения частиц и их взаимодействия, связанные с давлением, объёмом и температурой.",9,1.0,10.0,4.0,Deficient,PASS,Perfect,Missing Data,OK,,physics
9 класс,"Тело движется прямолинейно, и его скорость меняется по закону v(t) = 4t + 2. Определите ускорение тела в момент времени t = 3 с, используя определение ускорения как величины, характеризующей изменение скорости тела в единицу времени.","Ускорение тела определяется как производная скорости по времени, то есть $ a(t) = \frac{dv}{dt} = 4 \, \text{м/с}^2 $. В момент времени $ t = 3 \, \text{с} $ ускорение остаётся равным $ 4 \, \text{м/с}^2 $.",18,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,,physics
9 класс,Какое движение называется равномерным прямолинейным?,"Равномерным прямолинейным движением называется движение тела, при котором его скорость постоянна по модулю и направлению.",3,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
10 класс,Соотнесите физические явления из первого списка с их описаниями из второго списка.,"Физическое явление «дефект массы ядра» соответствует описанию «энергия связи нуклонов в ядре», так как разница между массой нуклонов в свободном состоянии и массой ядра определяет энергию, выделяющуюся при ядерном синтезе.",2,1.0,30.0,3.0,Deficient,REVIEW,Mostly Correct,Missing Data,MULTICHOICE_ELIMINATION,Terminological Error,physics
11 класс,"Магнитное поле проводника с током характеризуется вихревыми линиями магнитной индукции, охватывающими проводник. Верно ли это утверждение?","Верно. Магнитное поле проводника с током описывается линиями магнитной индукции, которые образуют замкнутые кольцевые линии, охватывающие проводник, согласно правилу правой руки.",1,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Minor Nitpick,physics
10 класс,"Представьте, что вы наблюдаете за движением двух тел, находящихся в вакууме, где на них действует только сила притяжения друг к другу. Опишите последовательность действий, которые вы предпримете, чтобы определить ускорение каждого тела в любой момент времени, используя только основные законы механики.",Для определения ускорения каждого тела используйте закон всемирного тяготения для нахождения силы взаимодействия и второй закон Ньютона: ускорение каждого тела будет пропорционально силе притяжения и обратно пропорционально его массе.,19,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Minor Nitpick,physics
11 класс,"Определите модуль силы Лоренца, действующей на частицу с зарядом $ q = 2 \, \text{мКл} $, движущуюся со скоростью $ v = 500 \, \text{м/с} $ в магнитном поле с индукцией $ B = 0.4 \, \text{Тл} $, если угол между направлением скорости и вектором магнитной индукции равен $ 30^\circ $.","Модуль силы Лоренца определяется по формуле $ F = qvB \sin \alpha $, где $ \alpha = 30^\circ $. Подставляя значения: $ F = 2 \cdot 10^{-3} \cdot 500 \cdot 0.4 \cdot \sin 30^\circ = 0.2 \, \text{Н} $.",18,4.0,0.0,,Perfect,PASS,,,OK,,physics
7 класс,Почему при равномерном движении тело за любые равные промежутки времени проходит одинаковые пути?,"При равномерном движении тело имеет постоянную скорость, что обеспечивает прохождение одинаковых путей за равные промежутки времени согласно формуле $ s = vt $.",14,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
8 класс,"Как изменится форма аморфного тела при его нагревании, если не изменится его масса и внешнее давление?","При нагревании аморфное тело подвергнется **тепловому расширению**, что приведет к изменению его формы.",17,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
9 класс,"Равномерное прямолинейное движение — это движение с постоянной скоростью, а неравномерное прямолинейное движение — это движение с изменяющейся скоростью. Как так же, как ускорение относится к изменению скорости, так и _______ относится к изменению ускорения.","Как ускорение относится к изменению скорости, так и **изменение ускорения** относится к изменению ускорения.",11,4.0,35.0,1.0,Perfect,REVIEW,Hallucination,,LEADING HINT,Hallucination,physics
10 класс,"Дано тело, размеры которого намного меньше расстояния, на которое оно перемещается. Какую абстрактную модель этого тела можно использовать для упрощения расчётов его движения? Приведите пример ситуации, в которой такая модель будет особенно полезна.","Для упрощения расчётов движения тела, размеры которого намного меньше расстояния перемещения, используется модель **материальной точки**. Пример: движение снаряда в поле тяжести, где его размеры и форма не учитываются, а рассматриваются только масса и траектория.",10,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
11 класс,"Прочитай определение прямого проводника: это проводник, в котором электрический ток протекает по прямой линии без изгиба или разделения на ветви. Сформулируй кратко основную идею, которую передаёт это определение.","Прямой проводник — это проводник, по которому электрический ток течёт по прямой линии без ветвлений.",9,,10.0,1.0,,PASS,Major Misconception,,OK,Hallucination,physics
7 класс,"Скорость тела изменилась от 10 м/с до 25 м/с за 5 секунд. Запишите уравнение для определения ускорения тела, используя обозначения $ a $ для ускорения, $ v $ для конечной скорости и $ u $ для начальной скорости.","Ускорение тела рассчитывается по формуле: $ a = \frac{v - u}{t} $, где $ v = 25 \, \text{м/с} $, $ u = 10 \, \text{м/с} $, $ t = 5 \, \text{с} $.",5,4.0,10.0,,Perfect,PASS,,,OK,,physics
10 класс,"Даны три утверждения: 1) движение тела под действием силы тяжести, 2) электрический ток в проводнике, 3) изменение температуры при нагревании вещества. Определи, какое из утверждений не относится к физической теории, описывающей явления на основе эмпирических данных и логических рассуждений.","Утверждение 3 ""изменение температуры при нагревании вещества"" относится к эмпирическим наблюдениям и не является самостоятельной физической теорией, основанной на логических рассуждениях. Остальные два утверждения (движение под действием силы тяжести, электрический ток) описываются физическими теориями (механика, электродинамика), которые используют эмпирические данные и логику.",12,2.0,30.0,3.0,Ambiguous,REVIEW,Mostly Correct,Subjective,LEADING HINT,Minor Nitpick,physics
8 класс,"Приведите пример явления, которое можно объяснить процессом смачивания, и назовите соответствующий физический принцип, лежащий в его основе.","Примером явления, объяснимого процессом смачивания, является капиллярные явления, обусловленные поверхностным натяжением жидкости.",7,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
9 класс,"Тело, брошенное под углом к горизонту, движется по прямой линии под действием силы тяжести. Верно ли это утверждение?","Нет, утверждение неверно. Тело, брошенное под углом к горизонту, движется по криволинейной траектории (параболе) под действием силы тяжести, так как её действие изменяет направление скорости.",1,,10.0,4.0,,PASS,Perfect,,OK,,physics
